ID,Date,Title,Introduction,Information,Serves,Makes,Diet,Meat Type,Time taken,Cuisine,Dish Type,Difficulty,Photo?,DONE?,,,,
47,,Pollack a la Grenobloise,"A stalwart from the classic French repertoire, à la grenobloise has got to be one of my favourite accompaniments to fish. Raymond Blanc in his excellent Kitchen Secrets, does pollack fillet à la grenobloise with pomme purée, “a dish which is cooked in homes all over France”. The classic consists of beurre noisette, capers, lemon and parsley, but I like to add some tomato concasse like we did at The Honours for a scallop dish, it adds an extra sweet juiciness and a nice bit of colour. Pollack is great, and really underrated in my opinion; from the same family as cod, it has a more chunky texture which I love. You could also use coley or hake as a happy substitute. This dish is best served with smooth buttery pomme purée I reckon, as Raymond Blanc’s recipe, but some boiled new potatoes would be just fine also. Pan-fried fish is such a pleasure for me. The skin is the best bit; fried until golden and crisp, contrasting with perfectly cooked moist flesh underneath. Delicious.",,,,,,,,,,,,,,,
48,,Chocolate and Raspberry Brownies,"It’s been too long since I posted anything on here, I have been a bit preoccupied lately with finding a new home. Now settled in and enjoying the comforts of a nice flat with a better equipped kitchen than the last one (the kitchen is, after all, the most important room in any house) I am set to get blogging again. I’m very aware that there’s a lack of sweet things on this blog. I must make amends. Also, I had an idea to do a series of recipes involving quintessential Scottish ingredients…such as raspberries! This is a replication of the brownies that Marc made at Wedgwood last week; I used Hugh Fearnley Whittingstall’s basic brownie recipe as a basis. For chocoholics this is a truly indulgent affair, and combined with a gorge of fresh summer fruit in the form of juicy raspberries it’s brilliant. A fantastic marriage of flavours. The brownie should be shiny and cracked on top, hiding the heavenly soft centre which any brownie lover craves.",,,,,,,,,,,,,,,
49,,Asian Noodle Soup,"When we were in Vietnam we fell in love with pho, the “noodle soup that build a nation”; eaten for breakfast, lunch and dinner and sold in hundreds of make-shift street stalls on virtually every corner in Hanoi, the nation’s bustling capital. We would perch on tiny plastic stools with soup and chopsticks in hand, slurping down the powerful broth while millions of motorbikes provided a symphony of background humming. The most common – and best – was pho bo, rich dark beef stock laden with strips of tender meat and tendons of beef, fragrant spices and light noodles. There was always a basket of bright leaves served alongside, herb-like greens which, when torn in rustic pieces into the bowl gave the perfect balance of freshness to the meaty soup. This is my own, slightly simpler version of noodle broth. Although it doesn’t compare to proper Vietnamese pho it’s a reasonable substitute! To make this recipe you will need to invest some time in making proper beef stock. This takes at least eight hours of gentle simmering and I urge you to do this; the resulting flavour will be far superior than any shop-bought alternative. I haven’t added any actual meat to the soup as I reckoned there is enough flavour from the stock alone, but feel free to add some strips of cooked beef if you wish.",,,,,,,,,,,,,,,
50,,Apple Tarte Tatin,"When I was younger I always preferred savoury food over sweet, but since working in restaurants and learning to make proper desserts I have come to have a greater appreciation for them. In expanding my culinary repertoire I will embrace all types of food equally, both sweet and savoury! Tarte Tatin is a dessert that we used to do for lunch at Wedgwood; it’s a classic French dish, delicious and quite easy to make. As with a lot of food I love, I really appreciate the simplicity of it. The combination of rich sweet caramel and tart apples is balanced beautifully by the smoothness from the butter; these are flavours that were made for each other. It’s the prime season for apples right now so this is a good time to make it! I’ve never tried making puff pastry from scratch before, as I know it’s a time consuming process, but I’d like to do it some time. I’ll put a recipe up on here when I do, but for now I’m just using ready-rolled pastry from the shop which is of pretty good quality anyway and saves a lot of time. Just four ingredients make up this amazing dessert: apples, sugar, butter and puff pastry. As for the apples, a tart eating variety is needed – I recommend Cox as the best option as they have a great flavour and also hold their shape well when cooked instead of turning mushy. Since it’s such a simple dish, the quality of each individual ingredient is more important so I would suggest getting a block of some really nice expensive butter for this. Desserts are a luxury anyway so you might as well do it properly!",,,,,,,,,,,,,,,
51,,Ricotta,"As a lover of cheese, the idea of making my own was obviously an appeal. My friend Guy gave me a book called Making Your Own Cheese and it has recipes for most common cheeses. The simplest involves very little process; take some milk and split it into its separate components by adding something acidic. The solid stuff, curds, are then drained off from the liquid. Once fully drained the curds are seasoned with salt. That’s it! This is the beautiful simplicity of ricotta; all other cheeses involve some process from this stage to arrive at the final product.",,,,,,,,,,,,,,,
52,,Red Onion Chutney,"Preserving and pickling is something that I have a great appreciation for. The beauty of preserving food is that fresh fruit and veg which is in season and plentiful can be enjoyed throughout the year when it is no longer available. Nowadays in supermarkets one can buy almost any vegetable at any time of year as food is imported from all over the world, but if you care about using seasonal and local produce – as I do – then you will also see the huge benefit in preserving. Rene Redzepi, head chef at Noma in Copenhagen, is the master of using seasonal and local produce. In summer is all the more crucial.I had a recipe for this amazing red onion chutney which I thought I’d lost. The last time I made it I couldn’t find the recipe so had to improvise and, although tasty, it wasn’t as good as the original. The old recipe was an adaptation of the red onion chutney that we used to make at Blackmore’s. I changed the spices and added white wine for extra flavour. It has a fantastic rich sweetness that is hard not to adore. This chutney, as with many pickles, improves and matures with age. Ideally it should be left in the jar for at least six months before eating. It will taste great if eaten immediately of course, but I recommend waiting! Serve this chutney with cheese and crackers, or put in a cheese and ham sandwich for an extra punch of flavour.",,,,,,,,,,,,,,,
53,,Porridge Oats and Banana Cake,"This is a really tasty recipe I found online a few weeks ago, and it's perfect for breakfast or brunch. Two of breakfast's long-time favourites, banana and oats, come together here to make a sort of flapjack. Because of the addition of milk and eggs, the texture is more like that of a coarse, oaty cake rather than a flapjack, which I thought was very good. Serve a generous wedge of it with your coffee in the morning for a breakfast of champions!",,,,,,,,,,,,,,,
54,,Pumpkin and Parmesan Soup,"It’s been too long since I made soup. Back home on the farm in the winter I used to make soup for lunch almost every day; a big pot of warming goodness accompanied by dad’s homemade bread with lovely salty butter smeared on it. For me this was the perfect antidote to a winter’s day, coming in from the cold to feel my body warming from the inside out as I eagerly spooned it down! Mum made the best soups; her two staples were leek and potato, and a chunky tomato soup with carrots and celery added, and white rice to thicken it, a sort of version of minestrone. It’s fantastic, I’ll post the recipe up here sometime. This soup is best in autumn when pumpkins are in season, otherwise winter squash is a good alternative. The sweetness of the pumpkin needs something strong and savoury to balance it, which is where the parmesan comes in. The combination is beautiful. Good home-made chicken stock adds to the savoury notes, and I added cream for richness. Garnishing finally with some chives which gives a hint of acidity as well as a pleasing touch of green. Also, leafing through Marcus Wareing again, I got the idea of browning the butter before adding the pumpkin, giving a really nice nutty flavour.",,,,,,,,,,,,,,,
55,,Leek and Potato Soup,"One of my mum’s reliable lunchtime soups in the winter is leek and potato; two ingredients that are always in good supply from her veg garden at this time. More of a rustic broth than a soup, with satisfying chunks of leek and roughly diced potato brought together with delicious meat stock, usually the result of lamb or beef bones left over from a roast. Any jelly or roasting juices left from this would be thrown in too, adding to the savouriness.",,,,,,,,,,,,,,,
56,,Chicken with butter and Herbs,"As all food lovers will agree, it is a heinous crime to not make stock with the carcass left after your roast chicken dinner. The thing that frustrates me is that this delicious stock can’t be used for the same meal, it must be saved for another time. I wanted to be able to use all of the chicken, bones and all, in the same way I did with my the meat off the bone. The wings and the remaining carcass were used to make a delicious stock which I reduced down to make a rich intense sauce. The succulent juicy leg meat was gently reheated with a few spoonfuls of sauce and a generous knob of butter to give a nice glaze. Generous handfuls of chopped fresh herbs, mixed in just enough to barely wilt, were added at the very end. The herbs provide a refreshing aspect to counter the strong flavoured sauce. As far as the garnish goes, mushrooms and leeks are excellent partners to chicken and the leeks add a nice bit of colour to the dish. You can use any vegetable you wish however.",,,,,,,,,,,,,,,
57,,Chicken Caesar Salad,"Jack, John and myself often used to make this in our flat in Sheffield. It’s easy to rustle up pretty quickly, and if you make your own authentic caesar dressing as we did, it’s proper and delicious too. The dressing is key to this dish; it’s a super-enriched mayonnaise, packed with powerful savoriness from garlic, parmesan, anchovies and olive oil. The richness is balanced by a vital squeeze of lemon juice. We always used chicken breast, gently baked in the oven until just cooked, but I’ve switched to using leg now as the darker flaky meat has more flavour and a more pleasing rustic feel that is nicely suited to this dish. This salad should provide a fantastic interplay of textures. It balances juicy shredded chicken with crunchy fresh leaves of lettuce and crisp bacon, all bound happily together by the glossy rich dressing. Extra crunch is given by lovely golden croutons.",,,,,,,,,,,,,,,
58,,Chicken and Smoked Ham Pie,"Winter is coming and the time for hearty and warming stews topped with delicious golden crisp pastry is near. Pies! My mouth is watering at just the thought. I already wrote about pies when I did a series of posts on classic home cooking, namely my delicious steak pie and shepherd’s pie but I really felt that chicken pie needed to be added to the collection since this tasty meat is so loved by the masses, including myself! I was truly thrifty with this dish, wasting nothing, as one always should when eating meat. Here I took one small bird and got maximum use from it, roasting the meat on the bone then using the carcass to make some stock. I then reduced this down to intensify the flavour and enriched it with sherry and a little beurre manié to make the gravy for the pie. This dish will take most of the day to cook, but I make no apologies for this; I hate to compromise flavour for the sake of saving time. Anyway, there are few things that I enjoy more than spending all afternoon in the kitchen creating something delicious. I served it with some leeks sauteed in butter, it was fantastic.",,,,,,,,,,,,,,,
59,,Broccoli and Stilton Soup,,,,,,,,,,,,,,,,
60,,Tortellini,,,,,,,,,,,,,,,,
61,,Tomato Concasse and Prawn Spaghetti,"I got the idea for this recipe when I was in India with Jack and Claire. We were in Goa and, growing tired of curry, were craving some western food for our dinner. We came upon an Italian restaurant on the edge of the beach, with plastic tables and chairs arranged under palm trees. Reputedly the pizzas and pasta were particularly good so we thought we’d give it a go. I went for ‘tomato and prawn spaghetti’ and it was absolutely delicious. It was a simple dish, using fresh tomatoes and little baby prawns. It had a really nice light sauce and was the perfect thing to eat on a hot evening, accompanied by a chilled bottle of beer! So this is my attempt at replicating that dish. It’s basically a sauce made from tomato juice, white wine and garlic, then thickened and enriched with butter. The diced tomato flesh and prawns are then simply added to heat through, just before serving. I used frozen cooked baby prawns, but if you can find fresh ones then all the better. It’s seasonal too; tomatoes are just about still good at this time of year, so make the most of it!",,,,,,,,,,,,,,,
62,,Teal with Orange Sauce,,,,,,,,,,,,,,,,
63,,Spaghetti Bolognese,"This has long been a staple dish in my repertoire and I think that I, like many of us, have a weakness for a good meaty pasta sauce. However, bolognese sauce can often turn out mediocre if thrown together in a hurry and without much thought. My philosophy for making a good bolognese rests on two principles. One: it should be really meaty, and two: it should simmer gently for a long time to tenderise the meat. My usual bolognese contains beef mince, pork mince, bacon, and pork sausage meat. This gives a nice combination of meaty flavours. It’s nice to vary things though, and I sometimes combine the beef mince with lamb or venison mince. Another thing about my bolognese, which is slightly controversial, is that I omit tomatoes and only include tomato puree. The main liquid component of the sauce instead comes from beef or pork stock, which promotes a richer meat flavour. This is an easy reliable meal, and a great one to serve if you have guests since just about everyone likes spaghetti bolognese! I usually make a big quantity, then freeze most of it before adding the cream.",,,,,,,,,,,,,,,
64,,Slow Cooked Lamb,"I often think that I’m very lucky to have grown up on a sheep farm, as I have a reliable supply of delicious organic lamb to create tasty delights with on a regular basis. I received a delivery of half a lamb a few weeks ago to replenish my supply. All of a sudden the drawers of the freezer were happily jammed and stuffed with shoulder, leg, neck, a heart and countless chops. I wasn’t likely to go hungry any time soon! If I was forced to choose I would probably have to pick lamb as my favourite meat, which may seem surprising given that throughout my childhood I was nurtured and brought up on it! Far from being sick of it though, I think I have a greater appreciation of good quality meat from well raised animals. The county of Northumberland (that’s my home!) produces more lamb than any in Britain, and some of the most delicious lamb and mutton in the world is from there. I hate to see lamb from New Zealand on the supermarket shelves when we have much better tasting stuff right here on our doorstep! The tastiest I’ve ever had was from the farm back home, and I reckon this meat is the best to be found anywhere.This is from Raymond Blanc’s Kitchen Secrets, another reliable recipe which his mother, the legendary “Maman Blanc” would have made. Rustic home cooking. It’s lamb shoulder from my farm, slow-roasted to achieve a gorgeous melting texture, and with some bones and neck chops in the bottom of the pan along with wine and herbs creating an extremely flavoursome liquid to make the sauce with. For this I reduced the liquid slightly, thickened with some beurre manie and stirred in some finely chopped mint and a splash of white wine vinegar. Lamb and mint, another classic flavour combination. I served the lamb with some leek and carrot, finely sliced to mirror the flakiness of the meat, and some roasted new potatoes.",,,,,,,,,,,,,,,
65,, Shoulder of Lamb,,,,,,,,,,,,,,,,
66,,Shepherd's Pie,"Here’s another home-cooking classic to add to the collection. It seems pretty appropriate that shepherd’s pie was a staple dish for us, at home on a sheep farm in rural Northumberland. I think this dish was traditionally made with left over meat from a roast dinner, but my Mum usually made it with our own lamb or mutton mince, which was a bit fattier than shop-bought mince and stronger in flavour; it was always really rich and filling. I’ve adapted the recipe here; instead of mince I’m using neck and slowly braising it on the bone. It’s a method of cooking that I love; embrace the tougher, more flavoursome cuts of meat I say. Lamb neck is probably the tastiest part of the animal in my view, and very underrated. In the kitchen at work, we use veal stock as a base for most of our sauces; for something like this shepherd’s pie for example, we would make a rich jus from reduced veal stock to mix with the filling instead of gravy. The veal bones are slowly simmered in water for 2-3 days in order to extract maximum flavour and body from them. The gelatine extracted from the bones thickens the stock when it is reduced, so you get a naturally thick, rich jus without using flour. This is impractical to do at home, but you can get some way towards a proper jus when making a dish like this by cooking the meat on the bone, or adding bones to the braising liquid like I did with mysteak pie and pork belly. After reducing, the resulting sauce will be richer and have more body to it than if you hadn’t used bones.",,,,,,,,,,,,,,,
67,,Seared Beef and Blue Cheese Salad,"I am celebrating Scottish produce and classic Scottish ingredients. Raspberries were first in the spotlight as I was intent on getting some sweet things on this blog, and also because they are so quintessentially Scottish. One of the other things that first sprung to mind when I tried thinking of ingredients was beef. Aberdeen Angus beef is widely regarded as the finest in the world and it is native to the counties of Aberdeenshire and Angus in Scotland. A nicely cooked steak from a well aged tender piece of Scottish beef is truly a thing of joy; definitely something worth celebrating! Since it is summer, even though typically it is actually cold and raining outside, I decided not to do steak but a salad. This one is warm and savoury, with delicious rare nuggets of seared beef being the focal point. Another component of this mouth watering concoction is blue cheese; Dunsyre Blue, another example of excellent Scottish produce, is from Lanarkshire, a county renowned for it’s cheeses. You know already of my fondness for been hung for at least 21 days. Which cut to use? Fillet is coveted for being extremely tender and succulent, which is exactly what I am looking for here, so that is what I shall use. Ask for fillet trim or the tail end as it will be cheaper. To complete the dish I have used baby spinach and tomatoes, giving the dish a striking colour contrast, with croutons to add texture variation. The tomatoes also bring a vital acidity in flavour that cuts beautifully through the rich meat and blue cheese.",,,,,,,,,,,,,,,
68,,Salmon Tartare,"I haven’t got one single post about fish on this blog yet, which is a shame because I’ve been living in Edinburgh for a while now and, being in Scotland and situated right next to the sea, it’s obviously a great place for eating seafood. I admit that I’m a bit of a novice when it comes to fish as I don’t often cook it, although I do love eating it. I recently invested in a copy of the River Cottage Fish Book which has provided a good bit of inspiration. Flicking through it the other day, a photo of salmon tartare grabbed my attention. Since making steak tartare recently and appreciating it’s beautiful simplicity, salmon tartare obviously appealed to me. Steak tartare is a celebration of well-aged, tender beef that is full of flavour. Salmon tartare is much the same: the piece of fish used must be top quality and as fresh as possible. Finding such a piece of fish was not going to be a problem in Edinburgh, and was particularly easy for me asArmstrong’s fishmongers, recognized by many as the best in the city, happens to be just down the road from my flat. “All of this was fresh this morning” he assured me when I told him I needed a piece of salmon as fresh as possible. On slicing it was clearly very fresh, the orange-pink flesh glossy and firm. Tasting it as it was, pure and unadorned, it already had excellent flavour. Hugh Fearnley Whittingstall uses Tabasco and Worcester sauce in his recipe which I chose to omit here as I think the amazing flavour of the fish shouldn’t be masked too much by additives. My version of the dish, I believe, includes enough extra ingredients to compliment and enhance the natural flavour of the fish without overpowering it. One of my favourite things about this dish is the magic worked by the lemon juice. As well as imparting sharp fresh flavour, the acid in the lemon juice affects the protein in the fish, causing a “cooked” texture on the surface of the meat. The acid denatures the protein molecules just as heat does when cooking, and as the brine did in my pig’s cheeks recipe. Pickling things in vinegar, again, has the same denaturing effect. All of these in a sense are just different ways of cooking meat. The advantage of using a method like this is that the fresh flavour of the raw meat does not change nearly as much as if you cooked it. The salmon will continue to “cook” for as long as it is left to marinate in the lemon juice. I would recommend no more than 5 minutes; this will result in a fairly thin layer of cooked-texture meat surrounding a lovely soft rare centre.",,,,,,,,,,,,,,,
69,,Roast Partridge,,,,,,,,,,,,,,,,
70,,Rabbit Liver Parfait,"Until recently I hated eating liver. One of our regular meals at home was a bacon and tomato pasta sauce which was finished with sautéed chicken livers. I would always baulk at the livers and have just the pasta sauce instead. The flavour has grown on me recently though and I actually love it now. Strange though I have always loved paté. Mum always made it at Christmas time, which we’d have on toast with chutney and salad for lunch; delicious! She made it by frying the liver with bacon, adding some herbs, a splash of sherry and some cream then puréeing and leaving to set in a bowl. It was a favourite and always got finished quickly. When I was working at Blackmore’s I got introduced to chicken liver parfait. It’s a luxurious version of pate that is enriched with eggs and butter. All the ingredients are blitzed together raw, poured into a mould and cooked very gently so that the finished article is still beautifully pink. It’s really fantastic, and easily the best way to treat livers in my opinion. You may have heard me talk before of a farmer’s dislike of rabbits. With the help of a rifle my brother acquired 18 wild rabbits from the farm at home, brought them up to Edinburgh and put them into his freezer. I went over to his house today and got a couple to make something tasty with. I also picked up all of the livers from the rabbits which he had set aside. Rabbit liver parfait! Rabbit liver has a similar consistency to chicken liver but tastes miles better. It would be perfect to make parfait with. I couldn’t find any recipes for rabbit parfait so I have used Raymond Blanc’s recipe for chicken liver parfait and adapted it slightly. I cooked it in a water bath in a cool oven to ensure that the heat transfer is gentle and we end up with a lovely pink colour. To execute this recipe properly, you will need a temperature probe, otherwise determining when the parfait is done is pretty much guess work. Because liver parfait is so rich, it needs to be garnished appropriately. Pickle or chutney is great as it has an acidic kick of vinegar which cuts through the meaty savouriness. Add some salad leaves for freshness and you have an excellent dish. Served on toast, or with delicate melba toast as I did, and you have a luxurious and delicious platter for your lunch.",,,,,,,,,,,,,,,
71,,Pork Meatballs and Cous Cous,,,,,,,,,,,,,,,,
72,,Peanut Butter Caramel Shortbread,"My mum makes excellent millionaire shortbread. It’s a treat when she comes to visit because I always get a tin full of lovely caramel-y chocolatey shortbread squares. On a daily basis I’ll come home from work and, hungry, peruse the fridge for something to eat. The tin of shortbread generally gets raided whilst I’m deciding what to make for my dinner…just one piece usually ends up being two or three; needless to say the millionaire shortbread supply never lasts long! I had the idea of doing peanut butter caramel because my girlfriend Mairi loves peanut butter. Although I do like peanut butter, it’s nowhere near as much as Mairi. She adores it, eats it every day on bagels for breakfast. So this was a good excuse to treat her. Since peanut butter and chocolate is already established as a good flavour combination it was just a small logical step to make peanut butter millionaire shortbread. I’ve been doing blog posts on Scottish ingredients and recipes, and shortbread is definitely a Scottish thing so I suppose at a stretch this is a Scottish recipe! On flicking through my recipe books, I picked up some tips on how to make shortbread. It’s such a simple thing to make, but it’s important to make it carefully so as not to end up with a poor result. When mixing the ingredients it’s vital to not overwork as the butter will begin to melt; then when it cooks it’ll be hard instead of the soft, melt-in-the-mouth consistency you’re looking for. Marcus Wareing suggests finely grating the chilled butter, then you hardly have to work the mixture with your hands and the butter barely softens at all. The result is excellent.",,,,,,,,,,,,,,,
73,,Peanut Butter and Jam Creme Brulee,"One of the desserts we serve at Wedgwood is a marmalade on toast creme brulee; it has a layer of marmalade in the bottom of the ramekin and then a toast-infused cream that is set on top. It tastes fantastic. Since I was in ‘peanut butter mode’ after making my shortbread, I thought that the same method could work well with peanut butter and jam. This is basically a peanut flavoured custard set into a ramekin on top of some jam. To ‘brulee’ a normal creme brulee, sugar is sprinkled on top and then caramelised with a blow torch or by grilling. Tony, one of the Wedgwood chefs, suggested sprinkling on some toasted crushed peanuts at the end to create extra crunch, which I thought was a great idea. Nice one Tony! I decided to use salted peanuts, as the peanut butter contains salt anyway and it gives a nice contrast to the sweet cream and jam.",,,,,,,,,,,,,,,
74,,Risotto of Chanterelles,"I went back home to the farm this weekend for a bit of a gathering with the folks. Lots of food and wine and merriment was had. It also just happened to be the perfect season for my favourite mushrooms: chanterelles! There is a particular spot in the woods, beneath the silver birch trees, where I know I can find them. So we went up to see what we could find, and were not disappointed. There is a deep satisfaction in strolling through the woods foraging for mushrooms, knowing that they’re going to be turned into something really delicious back in the kitchen. Chanterelles are amazing things. Such an outrageous bright yellow colour, and with their trumpet-shaped curves they seem almost other-worldly. Surely the most photogenic of mushrooms. It seems about time I put a risotto recipe up here. You may have noticed that I have a thing for Italian food; I love the ethos behind it: simple and delicious. Risotto was introduced to me a few years ago by my good friend Cecily, and I instantly fell in love with it. I love the mechanics; the constant meticulous stirring, coaxing the starch out of the rice. Since then I have made many many risottos. So here it is on the blog at last. The key to an excellent risotto, I believe, is to have a good stock. So if possible make it from scratch rather than using a stock cube. If you make a roast chicken for dinner, you can use the carcass to make stock and have a fantastic risotto for dinner the next day.",,,,,,,,,,,,,,,
75,,Mulligatawny Soup,,,,,,,,,,,,,,,,
76,,Macaroni Cheese,"Macaroni cheese is a classic home-made dish for me. It was a firm favourite for us three at home especially for Rob who would devour mountains of it with lashings of tomato ketchup. We were so particular about the consistency of the sauce, being adamant that it had to be “nice and sloppy”. These days I like it a little thicker but still loose enough to be gooey and tempting, and with a nice golden gratin to give contrast in texture. One thing my parents did was to put slices of tomato on the top among the cheese. As a big fan of tomatoes, I would highly advise this. It gives a light freshness to balance the weight of all that cheese. The quality of a macaroni can be judged by the quality of it’s cheese sauce. My Dad taught me how to make perfectly smooth cheese sauce (or white sauce); he told me to add the milk to the roux in stages, and stir thoroughly each time to ensure that its totally smooth before adding more. It’s completely fail-safe and I’ve never made a lumpy cheese sauce since. Thanks Dad!",,,,,,,,,,,,,,,
77,,Rabbit with Mustard,,,,,,,,,,,,,,,,
78,,Granny's Spelt Bread,"I went to visit my granny last week. She lives on a farm on the west coast of Scotland near Oban, right by the sea where it’s windswept and wild. The best bit about going to visit my granny is that you get treated with her home-made bread. She makes beautiful wholegrain rolls with seeds in and treacle to make them extra dark, rich and malty. They’re the tastiest, nourishing things you could imagine. She used to make them with normal wheat flour, but in recent years she found that she has an intolerance to wheat gluten so she uses spelt flour now instead. Spelt is brilliant. It’s an ancestor of wheat that has been used for around 9000 years. There are various references to it in the Old Testament and spelt bread was a favourite of the Romans. It was an important crop in the development of civilisation because it thrived in poor growing conditions and was particularly resistant to disease and pests due the tough outer husk surrounding the grain. Spelt has become redundant as a crop in modern times as preference has moved to higher-yield varieties of wheat that are better suited to the commercial bread industry. Recently though, spelt has been rediscovered and you can buy it from some health food shops and delicatessens. As well as making bread with the flour you can make excellent risotto from whole spelt grains, as they do in a number of restaurants now. My granny doesn’t knead the dough at all, which gives a pleasing rustic consistency to the bread. She also uses fairly hot water to activate the yeast; the water shouldn’t be too hot, as this would kill the yeast, but just hand-hot (about 50C). This relatively high temperature causes the bread to rise quickly, resulting in lots of little air pockets. Her technique for baking the bread is to simply bake all of the dough into one large flat loaf, then cut it up into roll-sized portions once it has cooled. If you prefer, you could shape into individual rolls and bake them separately.",,,,,,,,,,,,,,,
79,,Eggs Benedict,,,,,,,,,,,,,,,,
80,,Dry-cured Bacon,"Since my last batch of dry cure bacon had been finished up a while ago, it was high time I made some more. Although I was pleased with the last lot, I was slightly annoyed by the fact I had to soak it in water to reduce the saltiness, as the flavour from the rosemary, sugar and black peppercorns will have also been reduced. Whilst browsing the River Cottage forums one day, I read about other people who had had the same problem when following Hugh Fearnley Whittingstall’s recipe for dry cure bacon. There was one person, Howard, who had done alot of research and looked at several different recipes before he tried curing his bacon, and said it turned out beautifully. So I decided to follow his guidelines. Thanks to Howard for the useful info! Here’s a link. I love making bacon. Such a simple procedure, with such amazing results. It’s quite comforting to have a load of delicious streaky bacon sitting in my fridge, waiting to be turned into something tasty. Again, I got a hold of a whole pork belly (I don’t like to do things by half), but it wasn’t all for me; the other chefs Marc, Marcus and Alan from work were going to split the cost with me for a piece of bacony loveliness. I was more adventurous with the flavourings this time; nutmeg and rosemary were the primary notes, with undertones from a few other spices also coming through. I did actually end up soaking the bacon, but only for 1 hour this time, so the extra flavours were still noticeable in the finished bacon. I didn’t manage to get a hold of any salt petre unfortunately, so the bacon won’t keep its pinkness when cooked. The flavour will unaffected though, which is the main thing. I’m very happy with the end product; I have delicious things in store for it. It was a source of comfort and joy to have my bacon hanging up in the kitchen, slowly maturing and increasing in firmness and flavour. Everyone should try making bacon, it’s so easy, and you will have a product which is many miles better than anything you can get in a supermarket.",,,,,,,,,,,,,,,
81,,Coq au Vin,,,,,,,,,,,,,,,,
82,,Mutton Stock,,,,,,,,,,,,,,,,
83,,Braised Mutton,,,,,,,,,,,,,,,,
84,,"Pork Belly, Asparagus and Ale Sauce","The belly has long been my favourite part of the pig. There are two things I generally prefer to do with a pork belly; either salt it and cure it to make dry-cured bacon, or braise it long and slow, for about 12 hours, then press and chill it before roasting it until crispy. Pork belly cooked this way has the most amazing mouthfeel; the meat itself is succulent and has fat running through the layers that melts in your mouth, and the skin that sits atop is the most fantastic crisp pork crackling. It’s a great contrast of textures!",,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,
